SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent
9:32:00 am,9:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725400PE,25400,PE,SELL,35.35,39.90,-295.75,-12.87%
9:32:00 am,9:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725200PE,25200,PE,BUY,15.05,16.90,120.25,12.29%
9:32:00 am,9:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725800CE,25800,CE,SELL,37.15,35.75,91.00,3.77%
9:32:00 am,9:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621726000CE,26000,CE,BUY,15.35,15.20,-9.75,-0.98%
