Time,Strategy,Symbol,Strike,Type,EntryPrice,LTP,PnL,Greeks_Delta
2:10:00 pm,Iron Condor,NSE:NIFTY26JAN24800PE,24800,PE,2.15,0,139.75,N/A
2:10:00 pm,Iron Condor,NSE:NIFTY26JAN25200CE,25200,CE,3.9,0,253.50,N/A
2:10:00 pm,Iron Condor,NSE:NIFTY26JAN25400CE,25400,CE,1.05,0,-68.25,N/A
2:10:00 pm,Iron Condor,BSE:SENSEX26JAN81000PE,81000,PE,224.1,0,2241.00,N/A
2:10:00 pm,Iron Condor,BSE:SENSEX26JAN80600PE,80600,PE,128.15,0,-1281.50,N/A
2:10:00 pm,Iron Condor,BSE:SENSEX26JAN81800CE,81800,CE,306.8,0,3068.00,N/A
2:10:00 pm,Iron Condor,BSE:SENSEX26JAN82200CE,82200,CE,178.4,0,-1784.00,N/A
