SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent
1:32:00 pm,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725350PE,25350,PE,SELL,33.45,31.30,139.75,6.43%
1:32:00 pm,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725950CE,25950,CE,BUY,15.25,14.85,-26.00,-2.62%
1:32:00 pm,1:30:00 pm,Iron Condor (NIFTY),NSE:NIFTY2621725350PE,25350,PE,SELL,30.40,31.30,-58.50,-2.96%
1:32:00 pm,1:30:00 pm,Iron Condor (NIFTY),NSE:NIFTY2621725150PE,25150,PE,BUY,13.40,13.75,22.75,2.61%
1:32:00 pm,1:30:00 pm,Iron Condor (NIFTY),NSE:NIFTY2621725750CE,25750,CE,SELL,35.25,34.95,19.50,0.85%
1:32:00 pm,1:30:00 pm,Iron Condor (NIFTY),NSE:NIFTY2621725950CE,25950,CE,BUY,14.85,14.85,0.00,0.00%
