SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent
11:32:00 am,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725350PE,25350,PE,SELL,33.45,34.80,-87.75,-4.04%
11:32:00 am,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725150PE,25150,PE,BUY,14.75,15.20,29.25,3.05%
11:32:00 am,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725750CE,25750,CE,SELL,36.75,36.10,42.25,1.77%
11:32:00 am,11:30:00 am,Iron Condor (NIFTY),NSE:NIFTY2621725950CE,25950,CE,BUY,15.25,15.15,-6.50,-0.66%
